,author,bibtex_id,bibtex_title,msg,status
0,柳沢 豊,-1,NeXTSTEP 3Jプログラミング入門[3],Bibtex not found [Got2],False
0,西尾 章治郎,-1,センターの将来ビジョン: 情報処理教育センター改組の波のなかで,Bibtex not found [Got2],False
0,"大川 剛直,塚本 昌彦",-1,工学部電子情報エネルギー工学科における情報処理教育の低学年化について,Bibtex not found [Got2],False
0,"田中 克己,西尾 章治郎,吉川 正俊,下條 真司,上善 恒雄",-1,Obase: 動的継承とアクティブルール機構を有するインスタンス指向オブジェクトデータベースシステム,Bibtex not found [Got0],False
0,"MASAHIKO TSUKAMOTO,RIEKO TANAKA,SHOJIRO NISHIO",-1,On Query Processing Strategies for Mobile Computing,Bibtex not found [Got0],False
0,"齋藤 淳,原 隆浩,春本 要,塚本 昌彦,西尾 章治郎",-1,ASN.1データベースシステムにおけるデータ格納方式,Bibtex not found [Got0],False
0,西尾 章治郎,-1,特集「知識処理応用とデータベース」の編集にあたって,Bibtex not found [Got2],False
0,柳沢 豊,-1,学生メール: 「知ること」と「識ること」,Bibtex not found [Got2],False
0,西尾 章治郎,-1,研究室紹介: 大阪大学工学部情報システム工学科 知識システム工学講座 (西尾研究室),Bibtex not found [Got2],False
0,寺田 努,-1,ユビキタスコンピューティング環境構築のための入出力制御デバイス,Bibtex not found [Got2],False
